2023-06-17T23:37:47.762+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@3487442d
2023-06-17T23:37:47.762+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@530ee28b
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@530ee28b
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@530ee28b
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3a3f96ab
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3a3f96ab
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@3a3f96ab
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@4def7d36
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@4def7d36
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@4def7d36
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@43c7fe8a
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@43c7fe8a
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@67f946c3
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@67f946c3
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@21b51e59
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@21b51e59
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@21b51e59
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@1785d194
2023-06-17T23:37:47.763+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@6b4a4e40
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@6b4a4e40
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@46a8c2b4
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@4f664bee
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@4f664bee
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@4f664bee
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@76563ae7
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@4fd74223
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@4fea840f
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@32ae8f27
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@32ae8f27
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@75e80a97
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@75e80a97
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@5b8853
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@1b8aaeab
2023-06-17T23:37:47.764+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@5d1bdd4a
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@6812c8cc
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@3457cc8d
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@7a66c35a
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@7994a0d1
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@7994a0d1
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@73e4387
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@73e4387
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@d87d449
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@d87d449
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@4137aab0
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@4137aab0
2023-06-17T23:37:47.765+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@1df9186f
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@1df9186f
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@682e422c
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@5bb8e6fc
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@2726a511
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@2726a511
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@72c9ebfa
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@686cf8ad
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@747f6c5a
